2014-11-14 19,부산 기장군,기장읍,221231,0.005,0.7,0.01,0.078,43,
2014-11-14 20,부산 기장군,기장읍,221231,0.005,0.7,0.004,0.089,49,
2014-11-14 21,부산 기장군,기장읍,221231,0.005,0.6,0.006,0.088,44,
2014-11-14 22,부산 기장군,기장읍,221231,0.006,0.6,0.007,0.08,34,
2014-11-14 23,부산 기장군,기장읍,221231,0.006,0.5,0.008,0.074,28,
2014-11-14 24,부산 기장군,기장읍,221231,0.004,0.4,0.014,0.06,26,
2014-11-15 01,부산 기장군,기장읍,221231,0.004,0.4,0.017,0.049,28,
2014-11-15 02,부산 기장군,기장읍,221231,0.002,0.4,0.022,0.036,30,
2014-11-15 03,부산 기장군,기장읍,221231,0.003,0.4,0.025,0.031,25,
2014-11-15 04,부산 기장군,기장읍,221231,0.003,0.4,0.027,0.025,25,
2014-11-15 05,부산 기장군,기장읍,221231,0.003,0.4,0.028,0.025,30,
2014-11-15 06,부산 기장군,기장읍,221231,0.005,0.4,0.026,0.033,31,
2014-11-15 07,부산 기장군,기장읍,221231,0.005,0.4,0.02,0.046,32,
2014-11-15 08,부산 기장군,기장읍,221231,0.004,0.5,0.03,0.029,28,
2014-11-15 09,부산 기장군,기장읍,221231,0.004,0.4,0.031,0.029,30,
2014-11-15 10,부산 기장군,기장읍,221231,0.004,0.4,0.032,0.027,29,
2014-11-15 11,부산 기장군,기장읍,221231,0.002,0.4,0.033,0.022,33,
2014-11-15 12,부산 기장군,기장읍,221231,0.002,0.4,0.033,0.026,24,
2014-11-15 13,부산 기장군,기장읍,221231,0.002,0.4,0.03,0.028,26,
2014-11-15 14,부산 기장군,기장읍,221231,0.003,0.4,0.033,0.026,24,
2014-11-15 15,부산 기장군,기장읍,221231,0.003,0.4,0.037,0.025,11,
2014-11-15 16,부산 기장군,기장읍,221231,0.003,0.4,0.037,0.03,12,
2014-11-15 17,부산 기장군,기장읍,221231,0.005,0.4,0.028,0.048,15,
2014-11-15 18,부산 기장군,기장읍,221231,0.005,0.7,0.011,0.091,20,
2014-11-15 19,부산 기장군,기장읍,221231,0.005,0.6,0.007,0.09,41,
2014-11-15 20,부산 기장군,기장읍,221231,0.005,0.4,0.021,0.053,53,
2014-11-15 21,부산 기장군,기장읍,221231,0.006,0.4,0.029,0.032,34,
2014-11-15 22,부산 기장군,기장읍,221231,0.005,0.4,0.032,0.025,26,
2014-11-15 23,부산 기장군,기장읍,221231,0.004,0.4,0.024,0.044,15,
2014-11-15 24,부산 기장군,기장읍,221231,0.004,0.4,0.021,0.043,12,
2014-11-16 01,부산 기장군,기장읍,221231,0.003,0.4,0.02,0.044,18,
